"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Relative Humidity Avg. (%)","Relative Humidity Avg. Source Flag","Relative Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag","Corn Heat Units (germinate on start date) (CHU)","Corn Heat Units (germinate on start date) Source Flag","Potato Heat Units (PHU)","Potato Heat Units Source Flag"
"Calgary Springbank A","01-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","0.4","COMPUTED","-9.1","COMPUTED","","-15.6","COMPUTED","","-2.5","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","02-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","0.8","COMPUTED","-7.8","COMPUTED","","-13.7","COMPUTED","","-1.9","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","03-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","1.4","COMPUTED","-7.9","COMPUTED","","-13.7","COMPUTED","","-2.1","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","04-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","1.8","COMPUTED","-8.6","COMPUTED","","-14.1","COMPUTED","","-3.2","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","05-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","2.0","COMPUTED","-9.4","COMPUTED","","-15.1","COMPUTED","","-3.6","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","06-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","2.4","COMPUTED","-8.3","COMPUTED","","-14.3","COMPUTED","","-2.3","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","07-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","2.8","COMPUTED","-7.9","COMPUTED","","-13.2","COMPUTED","","-2.5","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","08-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","3.5","COMPUTED","-7.9","COMPUTED","","-13.4","COMPUTED","","-2.4","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","09-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","3.9","COMPUTED","-8.7","COMPUTED","","-15.1","COMPUTED","","-2.3","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","10-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","4.3","COMPUTED","-8.9","COMPUTED","","-15.1","COMPUTED","","-2.8","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","11-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","4.4","COMPUTED","-9.3","COMPUTED","","-15.6","COMPUTED","","-3.1","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","12-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","4.4","COMPUTED","-8.8","COMPUTED","","-14.5","COMPUTED","","-3.0","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","13-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","4.8","COMPUTED","-7.8","COMPUTED","","-13.6","COMPUTED","","-2.1","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","14-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","5.3","COMPUTED","-7.8","COMPUTED","","-13.5","COMPUTED","","-2.2","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","15-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","5.6","COMPUTED","-7.8","COMPUTED","","-13.3","COMPUTED","","-2.4","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","16-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","6.0","COMPUTED","-8.2","COMPUTED","","-13.7","COMPUTED","","-2.6","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","17-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","6.3","COMPUTED","-7.3","COMPUTED","","-12.5","COMPUTED","","-2.1","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","18-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","6.4","COMPUTED","-5.7","COMPUTED","","-11.8","COMPUTED","","0.4","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","19-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","6.7","COMPUTED","-4.7","COMPUTED","","-10.6","COMPUTED","","1.3","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","20-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","6.9","COMPUTED","-5.5","COMPUTED","","-11.1","COMPUTED","","0.2","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
"Calgary Springbank A","21-January-2017","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","","MISSING","","","UNAVAILBLE","","","UNAVAILBLE","","","UNAVAILBLE","","7.1","COMPUTED","-5.7","COMPUTED","","-11.6","COMPUTED","","0.3","COMPUTED","","100.0","COMPUTED","","","UNAVAILBLE","","","UNAVAILBLE","","UNAVAILBLE","","UNAVAILBLE"
